Accession Numbers,Amino Acids,A,C,D,E,F,G,H,I,K,L,M,N,P,Q,R,S,T,V,W,Y,Properties,Hydrophobic,Polar,Small,Negative,Postive,Amide,Large Aliphatic,Small Aliphatic,Aromatic,Hydroxy,X,Number of Y,Number of pY
H0YKK0,5.194805194805195,1.2987012987012987,7.142857142857142,5.194805194805195,3.2467532467532463,3.896103896103896,0.6493506493506493,6.493506493506493,7.142857142857142,18.181818181818183,0.6493506493506493,6.493506493506493,3.896103896103896,3.896103896103896,7.142857142857142,3.2467532467532463,5.194805194805195,7.142857142857142,0.0,3.896103896103896,,50.0,37.66233766233766,43.5064935064935,12.337662337662337,14.935064935064934,10.38961038961039,24.675324675324674,16.233766233766232,7.142857142857142,8.441558441558442,,6,1,154
H0YMA0,7.746478873239436,0.7042253521126761,3.5211267605633805,5.633802816901409,3.5211267605633805,7.746478873239436,0.7042253521126761,4.225352112676056,11.971830985915492,10.56338028169014,1.4084507042253522,4.225352112676056,5.633802816901409,4.929577464788732,7.746478873239436,6.338028169014084,3.5211267605633805,7.042253521126761,0.0,2.8169014084507045,,45.77464788732394,38.732394366197184,46.47887323943662,9.15492957746479,20.422535211267604,9.154929577464788,14.788732394366196,22.535211267605632,6.338028169014085,9.859154929577464,,4,1,142
P09661,7.0588235294117645,0.7843137254901961,6.666666666666667,7.8431372549019605,2.3529411764705883,7.450980392156863,0.39215686274509803,5.490196078431373,8.235294117647058,13.333333333333334,1.1764705882352942,5.490196078431373,4.705882352941177,3.9215686274509802,7.450980392156863,4.313725490196078,5.490196078431373,5.490196078431373,0.0,2.3529411764705883,,45.49019607843138,40.0,47.450980392156865,14.509803921568627,16.07843137254902,9.411764705882353,18.823529411764707,20.0,4.705882352941177,9.803921568627452,,6,1,255
P62899,6.6115702479338845,0.0,3.3057851239669422,5.785123966942149,3.3057851239669422,5.785123966942149,1.6528925619834711,7.43801652892562,14.049586776859504,4.132231404958678,2.479338842975207,4.958677685950414,5.785123966942149,0.0,11.570247933884298,4.132231404958678,6.6115702479338845,8.264462809917356,0.8264462809917356,3.3057851239669422,,42.14876033057852,41.32231404958678,45.45454545454545,9.090909090909092,27.272727272727273,4.958677685950414,11.570247933884298,20.66115702479339,7.438016528925621,10.743801652892563,,4,2,121
C9JU56,6.956521739130435,0.0,3.4782608695652173,6.086956521739131,2.608695652173913,6.086956521739131,1.7391304347826086,6.956521739130435,13.91304347826087,4.3478260869565215,2.608695652173913,5.217391304347826,5.217391304347826,0.0,12.173913043478262,2.608695652173913,6.956521739130435,8.695652173913043,0.8695652173913043,3.4782608695652173,,42.608695652173914,42.60869565217392,45.21739130434783,9.565217391304348,27.826086956521742,5.217391304347826,11.304347826086957,21.73913043478261,6.956521739130435,9.565217391304348,,4,2,115
B7Z4E3,6.666666666666667,0.8333333333333334,3.3333333333333335,5.833333333333333,2.5,5.833333333333333,3.3333333333333335,6.666666666666667,13.333333333333334,4.166666666666666,2.5,5.833333333333333,5.0,0.8333333333333334,11.666666666666666,2.5,6.666666666666667,8.333333333333332,0.8333333333333334,3.3333333333333335,,41.66666666666667,44.166666666666664,45.0,9.166666666666666,28.333333333333336,6.666666666666666,10.833333333333332,20.833333333333332,6.666666666666667,9.166666666666668,,4,2,120
B7Z4C8,6.153846153846154,0.7692307692307693,5.384615384615385,5.384615384615385,3.076923076923077,5.384615384615385,3.076923076923077,6.153846153846154,13.076923076923078,5.384615384615385,2.307692307692308,5.384615384615385,4.615384615384616,1.5384615384615385,10.76923076923077,3.076923076923077,6.923076923076923,7.6923076923076925,0.7692307692307693,3.076923076923077,,40.769230769230774,44.61538461538463,45.38461538461539,10.76923076923077,26.923076923076927,6.923076923076923,11.53846153846154,19.230769230769234,6.923076923076923,10.0,,4,2,130
P62899-2,7.03125,0.0,3.125,5.46875,2.34375,5.46875,1.5625,7.03125,13.28125,4.6875,2.34375,5.46875,5.46875,0.0,10.9375,4.6875,7.03125,10.15625,0.78125,3.125,,42.96875,39.84375,48.4375,8.59375,25.78125,5.46875,11.71875,22.65625,6.25,11.71875,,4,2,128
P62899-3,6.6115702479338845,0.0,3.3057851239669422,5.785123966942149,3.3057851239669422,5.785123966942149,1.6528925619834711,7.43801652892562,14.049586776859504,4.132231404958678,2.479338842975207,4.958677685950414,5.785123966942149,0.0,11.570247933884298,4.132231404958678,6.6115702479338845,8.264462809917356,0.8264462809917356,3.3057851239669422,,42.14876033057852,41.32231404958678,45.45454545454545,9.090909090909092,27.272727272727273,4.958677685950414,11.570247933884298,20.66115702479339,7.438016528925621,10.743801652892563,,4,2,121
H7C2W9,5.555555555555555,0.0,3.7037037037037033,5.555555555555555,4.62962962962963,3.7037037037037033,1.8518518518518516,8.333333333333332,10.185185185185185,5.555555555555555,1.8518518518518516,5.555555555555555,4.62962962962963,0.0,13.88888888888889,2.7777777777777777,7.4074074074074066,9.25925925925926,0.9259259259259258,3.7037037037037033,,43.51851851851851,40.74074074074075,42.592592592592595,9.25925925925926,25.925925925925924,5.555555555555555,13.888888888888888,18.51851851851852,9.25925925925926,10.185185185185183,,4,2,108
